Sequência;Data oficial;Objeto;Destinos;Cidades;Pastas;Órgão;Situação;Liderança;Valor total;Valor liberado
2900;25/11/2025;Emenda Parlamentar;Grupo Hospitalar Nossa Senhora das Graças - Maternidade Mater Dei;Curitiba;Emendas 2026/2027;;Recebida;;R$ 500.000,00;R$ 0,00
2898;25/11/2025;Equipamento e consumo;APAE - PR;São Jorge do Ivaí;Emendas 2026/2027;;Recebida;;R$ 0,00;R$ 0,00
2896;25/11/2025;Emenda á despesa;"Instituto Paranaense de Cegos ";Curitiba;Emendas 2026/2027;;Recebida;;R$ 0,00;R$ 0,00
2885;25/11/2025;Emenda Parlamentar;Apoio á Criança com Câncer - APACN;Curitiba;Emendas 2026/2027;;Recebida;;R$ 0,00;R$ 0,00
2873;24/11/2025;Recursos;"Proteger: Proteção dos Direitos da Criança e do Adolescente ";Curitiba;Emendas 2026/2027;;Recebida;;R$ 500.000,00;R$ 0,00
2871;24/11/2025;Emenda Parlamentar - para reformas, equipamentos, materiais permanentes e custeio;Escola Vicentina Santa Ana;Laranjeiras do Sul;Emendas 2026/2027;;Recebida;;R$ 150.000,00;R$ 0,00
2870;24/11/2025;Solicitação de Emenda Parlamentar;Província Brasileira da Congregação da Irmãs Filhas da Caridade de São Vicente de Paulo;Laranjeiras do Sul;Emendas 2026/2027;;Recebida;;R$ 200.000,00;R$ 0,00
2868;24/11/2025;Construção de quadra poliesportiva coberta;Serviços de Obras Sociais de Cianorte;Cianorte;Emendas 2026/2027;;Recebida;;R$ 0,00;R$ 0,00
2867;19/11/2025;Emenda Parlamentar para implantação do Sistema Solar de Energia;Casa do Caminho;Londrina;Emendas 2026/2027;;Recebida;;R$ 72.479,00;R$ 0,00
2866;19/11/2025;Solicitação de Emenda Parlamentar para fortalecimento institucional e ampliação das ações da ADEVIPAR;Associação dos Deficientes Visuais do Paraná - ADEVIPAR;Curitiba;Emendas 2026/2027;;Recebida;;R$ 0,00;R$ 0,00
2865;19/11/2025;Emenda Parlamentar - Para aquisição de equipamentos de informática;AECRI- Associação Evangélica Cristo Redentor;Curitiba;Emendas 2026/2027;;Recebida;;R$ 100.000,00;R$ 0,00
