Sequência;Data oficial;Ofício (antigo);Título;Tipo;Órgão;Ofícios;Cidade;Situação;Criador
3206;03/03/2026;;Salas de aulas Apae;1º Setor;Secretaria de Estado das Cidades - SECID;;Tupãssi - PR;Priorizar;Maria Fatima
3205;02/03/2026;;Quadra Poliesportiva;1º Setor;Secretaria de Estado das Cidades - SECID;;Japurá - PR;Priorizar;"Felipe - "
3204;02/03/2026;;Construção sala de aula;1º Setor;Secretaria de Estado das Cidades - SECID;;Japurá - PR;Priorizar;"Felipe - "
3203;26/02/2026;;Kit Esportivo - Material Esportivo;1º Setor;Secretaria de Estado do Esporte - SEES;;Pinhais - PR;Recebida;"Felipe - "
3202;26/02/2026;;Kit esportivo - Material Esportivo;1º Setor;Secretaria de Estado do Esporte - SEES;;Curitiba - PR;Recebida;"Felipe - "
3201;26/02/2026;;Veículo;Outros;Secretaria de Estado das Cidades - SECID;;Dois Vizinhos - PR;Recebida;"Felipe - "
3200;23/02/2026;;Equipamentos de infomática;1º Setor;Secretaria de Estado da Educação - SEED;;Apucarana - PR;Recebida;"Felipe - "
3199;12/02/2026;;Recursos para Saúde;3º Setor;Secretaria de Estado da Saúde - SESA;;Salgado Filho - PR;Recebida;"Felipe - "
3198;10/06/2024;;Importação de Atendimentos;3º Setor;;;Loanda - PR;Aguardando atendimento;Lucilene Marques
3197;10/04/2024;;Importação de Atendimentos;3º Setor;;;Cambará - PR;Aguardando atendimento;Lucilene Marques
3196;09/04/2024;;Importação de Atendimentos;3º Setor;;;Piên - PR;Aguardando atendimento;Lucilene Marques
3195;09/04/2024;;Importação de Atendimentos;3º Setor;;;Paulo Frontin - PR;Aguardando atendimento;Lucilene Marques
3194;08/04/2024;;Importação de Atendimentos;3º Setor;;;Planaltina do Paraná - PR;Aguardando atendimento;Lucilene Marques
3193;08/04/2024;;Importação de Atendimentos;3º Setor;;;Barbosa Ferraz - PR;Aguardando atendimento;Lucilene Marques
3192;08/04/2024;;Importação de Atendimentos;3º Setor;;;Pinhais - PR;Aguardando atendimento;Lucilene Marques
3191;08/04/2024;;Importação de Atendimentos;3º Setor;;;Mandaguaçu - PR;Aguardando atendimento;Lucilene Marques
3190;08/04/2024;;Importação de Atendimentos;3º Setor;;;Cruz Machado - PR;Aguardando atendimento;Lucilene Marques
3189;01/04/2024;;Importação de Atendimentos;3º Setor;;;Santo Antônio do Sudoeste - PR;Aguardando atendimento;Lucilene Marques
3188;01/04/2024;;Importação de Atendimentos;3º Setor;;;Fazenda Rio Grande - PR;Aguardando atendimento;Lucilene Marques
3187;01/04/2024;;Importação de Atendimentos;3º Setor;;;Fazenda Rio Grande - PR;Aguardando atendimento;Lucilene Marques
3186;27/03/2024;;Importação de Atendimentos;3º Setor;;;Laranjeiras do Sul - PR;Aguardando atendimento;Lucilene Marques
3185;26/03/2024;;Importação de Atendimentos;3º Setor;;;Terra Rica - PR;Aguardando atendimento;Lucilene Marques
3184;26/03/2024;;Importação de Atendimentos;3º Setor;;;São Jorge d`Oeste - PR;Aguardando atendimento;Lucilene Marques
3183;25/03/2024;;Importação de Atendimentos;3º Setor;;;Lobato - PR;Aguardando atendimento;Lucilene Marques
3182;25/03/2024;;Importação de Atendimentos;3º Setor;;;Anahy - PR;Aguardando atendimento;Lucilene Marques
3181;22/03/2024;;Importação de Atendimentos;3º Setor;;;Dois Vizinhos - PR;Aguardando atendimento;Lucilene Marques
3180;21/03/2024;;Importação de Atendimentos;3º Setor;;;Boa Esperança do Iguaçu - PR;Aguardando atendimento;Lucilene Marques
3179;21/03/2024;;Importação de Atendimentos;3º Setor;;;Conselheiro Mairinck - PR;Aguardando atendimento;Lucilene Marques
3178;21/03/2024;;Importação de Atendimentos;3º Setor;;;Curitiba - PR;Aguardando atendimento;Lucilene Marques
3177;21/03/2024;;Importação de Atendimentos;3º Setor;;;Curitiba - PR;Aguardando atendimento;Lucilene Marques
3176;21/03/2024;;Importação de Atendimentos;3º Setor;;;Campo Mourão - PR;Aguardando atendimento;Lucilene Marques
3175;21/03/2024;;Importação de Atendimentos;3º Setor;;;Pranchita - PR;Aguardando atendimento;Lucilene Marques
3174;21/03/2024;;Importação de Atendimentos;3º Setor;;;Bela Vista do Paraíso - PR;Aguardando atendimento;Lucilene Marques
3173;21/03/2024;;Importação de Atendimentos;3º Setor;;;Mato Rico - PR;Aguardando atendimento;Lucilene Marques
3172;21/03/2024;;Importação de Atendimentos;3º Setor;;;Curitiba - PR;Aguardando atendimento;Lucilene Marques
3171;21/03/2024;;Importação de Atendimentos;3º Setor;;;Curitiba - PR;Aguardando atendimento;Lucilene Marques
3170;21/03/2024;;Importação de Atendimentos;3º Setor;;;Terra Roxa - PR;Aguardando atendimento;Lucilene Marques
3169;20/03/2024;;Importação de Atendimentos;3º Setor;;;Guamiranga - PR;Aguardando atendimento;Lucilene Marques
3168;20/03/2024;;Importação de Atendimentos;3º Setor;;;Atalaia - PR;Aguardando atendimento;Lucilene Marques
3167;20/03/2024;;Importação de Atendimentos;3º Setor;;;Coronel Domingos Soares - PR;Aguardando atendimento;Lucilene Marques
3166;20/03/2024;;Importação de Atendimentos;3º Setor;;;Ortigueira - PR;Aguardando atendimento;Lucilene Marques
3165;20/03/2024;;Importação de Atendimentos;3º Setor;;;Arapongas - PR;Aguardando atendimento;Lucilene Marques
3164;20/03/2024;;Importação de Atendimentos;3º Setor;;;Curitiba - PR;Aguardando atendimento;Lucilene Marques
3163;20/03/2024;;Importação de Atendimentos;3º Setor;;;Curitiba - PR;Aguardando atendimento;Lucilene Marques
3162;20/03/2024;;Importação de Atendimentos;3º Setor;;;Curitiba - PR;Aguardando atendimento;Lucilene Marques
3161;20/03/2024;;Importação de Atendimentos;3º Setor;;;Curitiba - PR;Aguardando atendimento;Lucilene Marques
3160;20/03/2024;;Importação de Atendimentos;3º Setor;;;Ampére - PR;Aguardando atendimento;Lucilene Marques
3159;20/03/2024;;Importação de Atendimentos;3º Setor;;;Planalto - PR;Aguardando atendimento;Lucilene Marques
3158;19/03/2024;;Importação de Atendimentos;3º Setor;;;Conselheiro Mairinck - PR;Aguardando atendimento;Lucilene Marques
3157;19/03/2024;;Importação de Atendimentos;3º Setor;;;União da Vitória - PR;Aguardando atendimento;Lucilene Marques
3156;19/03/2024;;Importação de Atendimentos;3º Setor;;;Peabiru - PR;Aguardando atendimento;Lucilene Marques
3155;19/03/2024;;Importação de Atendimentos;3º Setor;;;Curitiba - PR;Aguardando atendimento;Lucilene Marques
3154;19/03/2024;;Importação de Atendimentos;3º Setor;;;Icaraíma - PR;Aguardando atendimento;Lucilene Marques
3153;19/03/2024;;Importação de Atendimentos;3º Setor;;;Figueira - PR;Aguardando atendimento;Lucilene Marques
3152;18/03/2024;;Importação de Atendimentos;3º Setor;;;Ibaiti - PR;Aguardando atendimento;Lucilene Marques
3151;18/03/2024;;Importação de Atendimentos;3º Setor;;;Mauá da Serra - PR;Aguardando atendimento;Lucilene Marques
3150;18/03/2024;;Importação de Atendimentos;3º Setor;;;Laranjeiras do Sul - PR;Aguardando atendimento;Lucilene Marques
3149;18/03/2024;;Importação de Atendimentos;3º Setor;;;Francisco Beltrão - PR;Aguardando atendimento;Lucilene Marques
3148;18/03/2024;;Importação de Atendimentos;3º Setor;;;Ubiratã - PR;Aguardando atendimento;Lucilene Marques
3147;18/03/2024;;Importação de Atendimentos;3º Setor;;;Jardim Alegre - PR;Aguardando atendimento;Lucilene Marques
3146;18/03/2024;;Importação de Atendimentos;3º Setor;;;Braganey - PR;Aguardando atendimento;Lucilene Marques
