Número/Ano;Tipo;Título;Cidade;Solicitações
410/2025;Interno;Merenda Escolar;;2956-Requer o fornecimento de merenda escolar aos alunos da educação especial
409/2025;Interno;Mini Carregadeira Bobcat;Sabáudia;2645-Minicarregadeira (Bobcat)
266/2025;Interno;Rolo Compactador;Sabáudia;2643-Rolo Compactador
235/2025;Interno;Veículo Hatch;Vitorino;
265/2025;Interno;Informa prioridade;Santa Mônica;2196-Veículo Van Transporte de Pacientes - Prioridade 55
260/2025;Interno;Informa prioridade;Campo Bonito;783-veículo  - Prioridade -
26/2025;Interno;Solicitação Onibus Adaptado;;2135-Veículo Onibus Adaptado
6/2025;Interno;Carreta do Conhecimento;Arapongas;
92/2024;Interno;Paraná mais cidades;;1375-Veículo
1/2024;Interno;SESA;;
126/2023;Interno;Microônibus;;1025-Veículo Micro-ônibus
19/2023;Interno;Pequeno Cotolengo;;1019-Pequeno Cotolengo
260/2023;Interno;Paraná mais cidades;;
104/2023;Interno;Plano Paraná mais Cidades;;
78/2023;Interno;"reforma quadra ";;939-reforma na quadra de esportes
109/2023;Interno;Material Esportivo;;
206/2023;Interno;Alambrado;;
5002/2023;Interno;Instrumento de fanfarra;;
146/2023;Interno;Ambulância;;957-Veículo
77/2023;Interno;Programa Paraná Trifásico;;913-Programa Paraná Trifásico
54/2023;Interno;Ônibus de 60 lugares;;777-ônibus
543/2023;Interno;Doação de carro cabine dupla;;729-Veículo
542/2023;Interno;Itens Fanfarra;;727-Kit Fanfarra
544/2023;Interno;"Reforma Colégio ";;723-Reforma do Colégio Estadual Mário Zacarelli
75/2023;Interno;Unidade Nova Apae;;89-Construção Escola APAE, 90-Construção Escola APAE - 100%, 91-Construção Escola APAE - 100%, 92-Construção Escola APAE - 100%, 94-Construção Escola APAE, 96-Construção Escola APAE - 100%, 97-Construção Escola APAE - 100%, 98-Construção Escola APAE, 363-Construção Escola APAE - 100%, 365-Construção Escola APAE, 474-Construção Escola APAE - 100%, 691-Construção Escola APAE, 692-Construção Escola APAE, 694-Construção Escola São Camilo, 695-Construção Escola Alternativa, 696-Construção Escola Egrégora, 697-Construção Escola Forrest Gump, 698-Construção Escola Unilehu, 699-Construção Escola APAE, 701-Construção Escola APAE - 100%, 703-Construção Escola APAE - 100%
9/2023;Interno;Doação de VAN;;675-Veículo Van
8/2023;Interno;Caixa Econômica Federal;;676-Caixa Econômica Federal
44/2023;Interno;Entrega de veículo Sedan;;
33/2023;Interno;Regularização Fundiária;;655-Regularização Fundiária
85/2022;Interno;Regularização Fundiária;;
50/2023;Interno;Emenda Parlamentar;;651-05 Academias ao Ar Livre
51/2023;Interno;Emenda Parlamentar;;652-Colheitadeira de Milho 3 linhas
84/2022;Interno;Melhoria de rede - Estrada Batuva;;650-Melhoria de Rede estrada Batuva
112023/2022;Interno;Melhoria de rede - Estrada Batuva;;
7/2023;Interno;Ônibus APAE - Campo do Tenente;;
24/2023;Interno;Poço artesiano;;634-Poços artesianos
